sample_id,prompt,audio,person_image,product_image,pose_video
th_fullbody_001_motion2custom,"A full-body person or stylized human character follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, consistent hairstyle and clothing, stable whole-body proportions, and the full figure visible from head to toe.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion2_pose.mp4
th_fullbody_002_motion2custom,"A full-body person or stylized human character follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, consistent hairstyle and clothing, stable whole-body proportions, and the full figure visible from head to toe.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImagec13ac940fa4ee5cc9ba7eb4cab1f7535b6007194.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion2_pose.mp4
th_fullbody_003_motion2custom,"A full-body person or stylized human character follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, consistent hairstyle and clothing, stable whole-body proportions, and the full figure visible from head to toe.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1972da23dfed1470925230ee4fb31c6ede4b624e.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion2_pose.mp4
th_fullbody_004_motion2custom,"A full-body person or stylized human character follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, consistent hairstyle and clothing, stable whole-body proportions, and the full figure visible from head to toe.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImagefc7e91a057314f4aa00f22b3aa00cafa3e31d756.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion2_pose.mp4
