sample_id,prompt,audio,person_image,product_image,pose_video,person_scale,person_v_align
th_fullbody_sugar_pose1_scale070_bottom_480p_noaudio,"A full-body wide shot of the same person, with the full body visible from head to shoes, following the provided motion with stable identity and natural proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/sugar.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/motion_pose/004_motion1_pose.mp4,0.7,bottom
th_fullbody_sugar_pose1_scale060_bottom_480p_noaudio,"A full-body wide shot of the same person, with the full body visible from head to shoes, following the provided motion with stable identity and natural proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/sugar.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/motion_pose/004_motion1_pose.mp4,0.6,bottom
